"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.919676105E0,-1.791360974E-1,1.983783394E-1,3.352120519E-2
4.939139855E0,-2.041815519E-1,1.191186309E-1,2.390008420E-2
4.958603709E0,-2.599229515E-1,9.330959618E-2,1.137735695E-2
4.978067459E0,-3.185659945E-1,9.437860548E-2,1.030834299E-2
4.997531313E0,-3.584249020E-1,9.346231073E-2,2.176205814E-2
5.016995063E0,-3.765981495E-1,6.536252797E-2,3.535379842E-2
5.036458813E0,-3.775144219E-1,1.893680729E-2,5.093085021E-2
5.055922667E0,-3.565923274E-1,3.359756200E-3,5.810851231E-2
5.075386417E0,-3.075704277E-1,1.343902480E-2,6.146826968E-2
5.094850272E0,-2.341139317E-1,2.443459118E-3,6.314814836E-2
5.114314022E0,-1.832594275E-1,-1.527161989E-2,6.864593178E-2
5.133777876E0,-1.831067204E-1,-2.580903657E-2,8.071050793E-2
5.153241626E0,-2.287688553E-1,-2.748891525E-2,9.170607477E-2
5.172705480E0,-2.834412456E-1,-3.588830680E-2,9.552398324E-2
5.192169230E0,-3.061959743E-1,-6.948586553E-2,8.956804872E-2
5.211633084E0,-2.922987938E-1,-1.201876476E-1,8.513928205E-2
5.231096834E0,-2.751945853E-1,-1.678351015E-1,8.544471115E-2
5.250560688E0,-2.832885385E-1,-1.747073233E-1,8.834631741E-2
5.270024438E0,-3.214675784E-1,-1.435532272E-1,9.384410083E-2
5.289488188E0,-3.732383847E-1,-1.061377525E-1,1.109483168E-1
5.308952042E0,-4.137081802E-1,-6.520981342E-2,1.395062506E-1
5.328415792E0,-4.059196413E-1,-8.246674202E-3,1.665370166E-1
5.347879647E0,-3.634645343E-1,2.244928107E-2,1.834885031E-1
5.367343397E0,-3.242164850E-1,1.374445762E-2,1.825722158E-1
5.386807251E0,-3.043633699E-1,-4.413498193E-2,1.668424457E-1
5.406271001E0,-3.026835024E-1,-1.307250559E-1,1.518762559E-1
5.425734855E0,-3.115410507E-1,-1.890626550E-1,1.416442692E-1
5.445198605E0,-3.303251266E-1,-1.913533956E-1,1.344666034E-1
5.464662459E0,-3.332267404E-1,-1.354592592E-1,1.136972085E-1
5.484126209E0,-3.142899275E-1,-4.321868345E-2,7.933606207E-2
5.503589959E0,-3.086394370E-1,4.825831577E-2,4.207331315E-2
5.523053813E0,-3.437641561E-1,1.182023361E-1,9.392046370E-3
5.542517563E0,-4.091266990E-1,1.484401375E-1,-2.649625950E-2
5.561981417E0,-4.752528071E-1,1.388190240E-1,-7.444914430E-2
5.581445167E0,-5.119046569E-1,9.972367436E-2,-1.327867359E-1
5.600909022E0,-5.076286197E-1,4.932733253E-2,-1.879172772E-1
5.620372772E0,-4.718930423E-1,6.414080039E-3,-2.271653414E-1
5.639836626E0,-4.164570570E-1,-5.971203372E-2,-2.367864549E-1
5.659300376E0,-3.439168632E-1,-1.623373181E-1,-2.227365673E-1
5.678764230E0,-2.838993967E-1,-2.900080681E-1,-1.848629564E-1
5.698227980E0,-2.211330533E-1,-3.411679864E-1,-1.326340139E-1
5.717691834E0,-1.641699076E-1,-3.113883138E-1,-6.940951198E-2
5.737155584E0,-1.531743407E-1,-3.184132576E-1,4.046979360E-3
5.756619438E0,-1.705839932E-1,-3.735437989E-1,5.749764666E-2
5.776083188E0,-1.689041108E-1,-4.086685479E-1,7.780890167E-2
5.795546938E0,-1.392771751E-1,-3.814850450E-1,8.101594448E-2
5.815010792E0,-1.072067693E-1,-3.165806830E-1,5.871937796E-2
5.834474542E0,-7.437278330E-2,-2.703076601E-1,2.084576152E-2
5.853938397E0,-2.962694131E-2,-2.916879356E-1,-1.870773360E-2
5.873402147E0,-1.725693047E-2,-3.533852696E-1,-4.940368980E-2
5.892866001E0,-4.963276163E-2,-3.842339516E-1,-6.330086291E-2
5.912329751E0,-1.096502244E-1,-3.368919194E-1,-5.703949928E-2
5.931793605E0,-1.362228394E-1,-1.928805560E-1,-2.909243479E-2
5.951257355E0,-8.429934084E-2,-3.390299529E-2,5.268708803E-3
5.970721209E0,7.635809598E-4,4.031707719E-2,2.939786762E-2
5.990184959E0,6.536252797E-2,5.024362728E-2,1.886045001E-2
6.009648709E0,9.132428467E-2,3.359756246E-2,-2.222020552E-2
6.029112563E0,8.613193035E-2,-1.221729536E-2,-8.086322248E-2
6.048576313E0,6.475166976E-2,-5.910116807E-2,-1.376736462E-1
6.068040167E0,3.420842811E-2,-8.124501258E-2,-1.680641770E-1
6.087503917E0,1.466075517E-2,-7.788526267E-2,-1.676060259E-1
6.106967772E0,4.673115537E-2,-3.039052337E-2,-1.477529258E-1
6.126431522E0,1.206457913E-1,4.428769648E-2,-1.338557452E-1
6.145895376E0,1.977674663E-1,1.281288862E-1,-1.245400533E-1
6.165359126E0,2.533561587E-1,1.849393100E-1,-1.088102907E-1
6.184822876E0,2.712239623E-1,1.773035079E-1,-8.987347782E-2
6.204286730E0,2.562577724E-1,1.389717311E-1,-6.834049523E-2
6.223750480E0,2.353356630E-1,9.804379940E-2,-3.688096255E-2
6.243214334E0,2.417497337E-1,6.673697382E-2,1.580612548E-2
6.262678084E0,2.631300092E-1,4.184423760E-2,8.422297984E-2
6.282141938E0,2.406807244E-1,1.802051067E-2,1.265253723E-1
6.301605688E0,1.643226296E-1,2.962694131E-2,1.245400533E-1
6.321069542E0,5.772672221E-2,9.269873053E-2,8.239039034E-2
6.340533292E0,-2.733619884E-2,1.817322671E-1,3.168861195E-2
6.359997042E0,-4.444041103E-2,2.544251680E-1,1.198822167E-2
6.379460897E0,-7.635809947E-3,2.958112657E-1,2.649625950E-2
6.398924647E0,4.474584386E-2,2.677114904E-1,6.330086291E-2
6.418388501E0,9.605848789E-2,2.156352699E-1,8.712458611E-2
6.437852251E0,1.464548260E-1,1.756236255E-1,9.369138628E-2
6.457316105E0,1.853974611E-1,1.493564397E-1,7.979421318E-2
6.476779855E0,1.776089370E-1,1.203403622E-1,4.665479809E-2
6.496243709E0,1.143844277E-1,8.643736690E-2,2.084576152E-2
6.515707459E0,1.328630932E-2,5.955931544E-2,3.130682046E-3
6.535171209E0,-7.559451461E-2,5.222893879E-2,-1.458439697E-2
6.554635063E0,-9.911280870E-2,2.962694131E-2,-1.992946304E-2
6.574098813E0,-5.833758786E-2,-2.535088919E-2,2.672533505E-3
6.593562667E0,-1.511890348E-2,-9.117157012E-2,3.489565104E-2
6.613026417E0,-6.108647678E-3,-1.379027218E-1,3.733910993E-2
6.632490272E0,-2.076940238E-2,-1.386663020E-1,3.130682046E-3
6.651954022E0,-3.619373962E-2,-1.139262840E-1,-3.016144782E-2
6.671417876E0,-3.924806044E-2,-1.153007299E-1,-3.123046272E-2
6.690881626E0,-2.138026804E-2,-1.453858167E-1,-7.559451740E-3
6.710345480E0,8.552107029E-3,-1.800523996E-1,2.527453005E-2
6.729809230E0,3.649916872E-2,-2.136499584E-1,5.459604040E-2
6.749272980E0,4.764745384E-2,-2.368628234E-1,6.635518372E-2
6.768736834E0,3.313941509E-2,-2.342666388E-1,5.215258151E-2
6.788200584E0,1.481347065E-2,-2.021962404E-1,3.184132650E-2
6.807664438E0,-4.428769462E-3,-1.805105358E-1,2.939786762E-2
6.827128188E0,-2.962694131E-2,-1.771507859E-1,4.222602770E-2
6.846592042E0,-2.748891525E-2,-1.488982886E-1,4.482220486E-2
6.866055792E0,-4.550942779E-2,-1.545487940E-1,4.634936526E-2
6.885519647E0,-3.390299529E-2,-1.754709035E-1,5.933023989E-2
6.904983397E0,-1.252272818E-2,-1.944077164E-1,6.391172856E-2
6.924447251E0,-8.246674202E-3,-2.273944169E-1,5.154171586E-2
6.943911001E0,-2.458730713E-2,-2.519817352E-1,4.085158184E-2
6.963374855E0,-6.322450191E-2,-2.365573794E-1,2.466366626E-2
6.982838605E0,-8.491020650E-2,-1.794415265E-1,1.450803829E-3
7.002302459E0,-8.628465235E-2,-1.540906429E-1,-7.712167688E-3
7.021766209E0,-5.818486959E-2,-1.507308781E-1,-3.283398226E-3
7.041229959E0,-1.084284950E-2,-1.499672979E-1,9.544761851E-3
7.060693813E0,2.611446939E-2,-1.514944583E-1,2.359465137E-2
7.080157563E0,4.810560122E-2,-1.516471803E-1,2.695440874E-2
7.099621417E0,5.910116807E-2,-1.404989064E-1,1.947131567E-2
7.119085167E0,6.475166976E-2,-1.032361463E-1,1.015562657E-2
7.138549022E0,6.490438432E-2,-5.329795182E-2,1.168278884E-2
7.158012772E0,5.451968312E-2,-4.703658819E-2,2.466366626E-2
7.177476626E0,3.497200832E-2,-7.681624591E-2,2.557996288E-2
7.196940376E0,2.397644334E-2,-1.006399691E-1,1.137735695E-2
7.216404230E0,3.466657549E-2,-1.177441850E-1,2.825249685E-3
7.235867980E0,4.001164436E-2,-1.426369250E-1,4.352411721E-3
7.255331834E0,2.290742844E-2,-1.473711282E-1,1.290451828E-2
7.274795584E0,-5.345067009E-3,-1.348484010E-1,2.649625950E-2
7.294259334E0,-2.519817278E-2,-1.090393662E-1,3.061959706E-2
7.313723188E0,-2.779434808E-2,-7.116574794E-2,2.267835476E-2
7.333186938E0,-2.061668597E-2,-4.856374860E-2,1.382081583E-2
7.352650792E0,-1.725693047E-2,-5.161807314E-2,4.505127668E-3
