"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.044940167E0,9.692726135E0,-3.631108403E-1,-2.309073806E-1
4.064404022E0,9.603593826E0,-4.749752879E-1,-3.248256743E-1
4.083867772E0,9.661021233E0,-4.600201547E-1,-4.582255483E-1
4.103331626E0,9.661021233E0,-1.292124242E-1,-6.197410822E-1
4.122795376E0,9.576076508E0,2.703889608E-1,-7.836494446E-1
4.142259230E0,9.527621269E0,7.657032609E-1,-7.866404653E-1
4.161722980E0,9.531210899E0,1.499701619E0,-5.641079545E-1
4.181186834E0,9.744172096E0,1.991426587E0,-3.816552162E-1
4.200650584E0,9.815957069E0,2.132603168E0,-1.692921966E-1
4.220114334E0,9.540184021E0,2.023131609E0,1.674975827E-2
4.239578188E0,9.084351540E0,1.706680775E0,1.794617064E-2
4.259041938E0,8.955737114E0,1.462014675E0,-2.165504545E-1
4.278505792E0,9.393025398E0,1.427318692E0,-2.536391914E-1
4.297969542E0,1.031186962E1,1.431506157E0,-1.046859920E-1
4.317433397E0,1.119541931E1,1.535593987E0,8.015955985E-2
4.336897147E0,1.165005493E1,1.646860242E0,4.845465720E-2
4.356361001E0,1.159920788E1,1.636092424E0,-9.870393574E-2
4.375824751E0,1.140598774E1,1.562513232E0,-1.106680483E-1
4.395288605E0,1.107697392E1,1.431506157E0,1.615155302E-2
4.414752355E0,1.058046341E1,1.222732425E0,6.161518395E-2
4.434216209E0,1.010548782E1,1.230509043E0,-2.632104978E-2
4.453679959E0,9.702297211E0,1.300499082E0,-1.214357466E-1
4.473143709E0,9.452845573E0,1.335195065E0,-2.871387079E-2
4.492607563E0,9.339186668E0,1.375274777E0,2.476571500E-1
4.512071313E0,9.348159790E0,1.351346612E0,2.805584669E-1
4.531535167E0,9.435498238E0,1.301097274E0,8.434699476E-2
4.550998917E0,9.471389771E0,1.381855130E0,-8.614161611E-2
4.570462772E0,9.464211464E0,1.615753531E0,-6.221338734E-2
4.589926522E0,9.513264656E0,1.907677889E0,9.930214286E-2
4.609390376E0,9.725028992E0,2.190629244E0,2.512463629E-1
4.628854126E0,1.003848934E1,2.321636200E0,2.685943544E-1
4.648317876E0,1.029153061E1,2.165504456E0,1.022931710E-1
4.667781730E0,1.020897770E1,1.664806366E0,1.734796353E-2
4.687245480E0,9.851848602E0,1.299302697E0,1.615155302E-2
4.706709334E0,9.483354568E0,1.264008522E0,1.244267747E-1
4.726173084E0,9.376275063E0,1.307677627E0,1.866401732E-1
4.745636938E0,9.606584549E0,1.327418327E0,1.453639716E-1
4.765100688E0,9.973284721E0,1.239482164E0,-6.161518395E-2
4.784564542E0,1.032861900E1,1.119242787E0,-3.367897868E-1
4.804028292E0,1.055653572E1,9.218349457E-1,-5.000999570E-1
4.823492147E0,1.052961636E1,7.812566161E-1,-3.726821244E-1
4.842955897E0,1.014736271E1,6.687939167E-1,-6.759724021E-2
4.862419647E0,9.631709099E0,5.850451589E-1,5.084748194E-2
4.881883501E0,9.095118523E0,7.286145091E-1,3.349951655E-2
4.901347251E0,8.775676727E0,1.018146038E0,-1.232303679E-1
4.920811105E0,9.020342827E0,1.425524116E0,-4.061816335E-1
4.940274855E0,9.565906525E0,1.799402595E0,-5.617151260E-1
4.959738709E0,9.885348320E0,1.849651933E0,-6.586244106E-1
4.979202459E0,9.866804123E0,1.480558991E0,-7.310073376E-1
4.998666313E0,9.697511673E0,8.039883971E-1,-8.416753411E-1
5.018130063E0,9.479166985E0,2.213360965E-1,-9.696913958E-1
5.037593813E0,9.494122505E0,5.503492057E-2,-1.000199914E0
5.057057667E0,9.771091461E0,4.211367965E-1,-9.469595551E-1
5.076521417E0,9.863214493E0,9.403793216E-1,-8.362914920E-1
5.095985272E0,9.863214493E0,1.101894855E0,-8.410771489E-1
5.115449022E0,9.812965393E0,9.146564603E-1,-9.493523836E-1
5.134912876E0,9.704689980E0,5.563312769E-1,-9.314061999E-1
5.154376626E0,9.526425362E0,3.349951804E-1,-8.889335990E-1
5.173840480E0,9.398408890E0,2.614158690E-1,-7.405785918E-1
5.193304230E0,9.380462646E0,3.433700502E-1,-4.905286431E-1
5.212768084E0,9.567103386E0,3.433700502E-1,-3.272185028E-1
5.232231834E0,1.002473068E1,1.657029688E-1,-2.751746178E-1
5.251695688E0,1.055055332E1,2.512463741E-2,-2.703889608E-1
5.271159438E0,1.083888817E1,6.221338734E-2,-3.158525825E-1
5.290623188E0,1.093579769E1,2.667997181E-1,-4.073780477E-1
5.310087042E0,1.092383385E1,3.942175210E-1,-4.528416991E-1
5.329550792E0,1.048056316E1,2.841476798E-1,-4.115654826E-1
5.349014647E0,9.755537987E0,3.290131316E-2,-4.534398913E-1
5.368478397E0,9.175278664E0,-1.501496136E-1,-5.437689424E-1
5.387942251E0,8.900103569E0,-2.344966233E-1,-5.383850932E-1
5.407406001E0,8.976076126E0,-2.805584669E-1,-5.910272002E-1
5.426869855E0,9.360722542E0,-2.291127741E-1,-7.369893789E-1
5.446333605E0,9.845269203E0,-8.554340899E-2,-9.649057388E-1
5.465797459E0,1.032443142E1,3.469592705E-2,-1.051047325E0
5.485261209E0,1.050688457E1,2.249253243E-1,-1.034297585E0
5.504724959E0,1.049133110E1,4.169493318E-1,-1.045663476E0
5.524188813E0,1.029272652E1,3.906283081E-1,-9.619147182E-1
5.543652563E0,9.951150894E0,1.369891018E-1,-7.298108935E-1
5.563116417E0,9.690931320E0,-1.399801224E-1,-4.199403822E-1
5.582580167E0,9.470193863E0,-2.482553422E-1,2.153540403E-2
5.602044022E0,9.298508644E0,-3.242274821E-1,4.767699242E-1
5.621507772E0,9.190233231E0,-4.384847581E-1,8.141579032E-1
5.640971626E0,9.282955170E0,-4.761717021E-1,1.016949654E0
5.660435376E0,9.554540634E0,-2.488535494E-1,1.040279627E0
5.679899230E0,1.010189915E1,2.703889608E-1,9.116654396E-1
5.699362980E0,1.056431198E1,6.592226624E-1,7.250252366E-1
5.718826834E0,1.044945621E1,7.459624410E-1,2.775674164E-1
5.738290584E0,1.011326504E1,7.555337548E-1,-1.794617027E-1
5.757754438E0,9.947562218E0,5.940182209E-1,-3.852444589E-1
5.777218188E0,9.753743172E0,1.256231815E-1,-4.372883439E-1
5.796681938E0,9.432506561E0,-3.038884699E-1,-6.478567123E-1
5.816145792E0,9.119047165E0,-2.572284341E-1,-1.042074203E0
5.835609542E0,8.908478737E0,1.202393398E-1,-1.076770186E0
5.855073397E0,9.142974854E0,6.173482537E-1,-1.108475089E0
5.874537147E0,9.719645500E0,1.164108157E0,-1.086939692E0
5.894001001E0,1.040100193E1,1.645065546E0,-1.180858016E0
5.913464751E0,1.088255692E1,1.945963025E0,-1.208973646E0
5.932928605E0,1.086879826E1,1.987837434E0,-1.228116274E0
5.952392355E0,1.026461124E1,1.625923038E0,-1.235892892E0
5.971856209E0,9.668199539E0,1.127019525E0,-1.271187067E0
5.991319959E0,9.269196510E0,6.819544435E-1,-1.393221021E0
6.010783709E0,9.083154678E0,6.478567123E-1,-1.572682738E0
6.030247563E0,9.222537041E0,1.107876897E0,-1.725823283E0
6.049711313E0,9.611968994E0,1.649851203E0,-1.690529227E0
