"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.387715846E0,-2.550360374E-2,-9.827287495E-2,-4.360047355E-2
3.407176471E0,-2.519817278E-2,-6.085740402E-2,-4.024071619E-2
3.426637096E0,-1.863137633E-2,-3.856083751E-2,-3.382663801E-2
3.446097721E0,-2.031125315E-2,-2.359465137E-2,-2.970330045E-2
3.465558346E0,-2.474002354E-2,-1.550069358E-2,-2.435823344E-2
3.485018971E0,-2.626718581E-2,-1.107192412E-2,-1.779143699E-2
3.504479596E0,-2.626718581E-2,-6.337722298E-3,-1.198822167E-2
3.523940325E0,-2.443459071E-2,8.323032409E-3,-7.254019380E-3
3.543400950E0,-2.657261863E-2,2.542724647E-2,-7.635809743E-5
3.562861575E0,-3.756818548E-2,4.283689335E-2,7.406735327E-3
3.582322200E0,-4.795288667E-2,5.719221383E-2,6.795870606E-3
3.601782825E0,-5.268708616E-2,6.757691503E-2,4.046979360E-3
3.621243450E0,-5.406153202E-2,7.673988491E-2,3.283398226E-3
3.640704075E0,-5.268708616E-2,9.246965498E-2,4.352411721E-3
3.660164804E0,-5.207622424E-2,1.045342386E-1,5.421424750E-3
3.679625429E0,-4.688387364E-2,1.074358448E-1,2.214384731E-3
3.699086054E0,-4.031707719E-2,1.051450968E-1,2.290742996E-4
3.718546679E0,-3.604102135E-2,1.020907760E-1,2.672533505E-3
3.738007304E0,-3.191768378E-2,1.088102907E-1,9.697478265E-3
3.757467929E0,-2.107483521E-2,9.888373315E-2,1.000291109E-2
3.776928554E0,-4.123337101E-3,7.185296714E-2,9.850194678E-3
3.796389283E0,6.872228812E-3,6.971494108E-2,1.656970754E-2
3.815849908E0,7.024944760E-3,7.887791097E-2,1.733328775E-2
3.835310533E0,-3.054323839E-3,8.544471115E-2,1.122464053E-2
3.854771158E0,-1.374445762E-2,9.216422588E-2,6.032289471E-3
3.874231783E0,-1.466075517E-2,8.498656005E-2,6.490438245E-3
3.893692408E0,-1.038470119E-2,6.192641705E-2,1.061377581E-2
3.913153137E0,-7.941242307E-3,3.642281145E-2,8.475748822E-3
3.932613762E0,-7.330377586E-3,2.160934173E-2,1.756236190E-3
3.952074387E0,-1.267544460E-2,1.977674663E-2,-2.214384731E-3
3.971535012E0,-2.138026804E-2,2.069304511E-2,-4.810560029E-3
3.990995637E0,-1.771507785E-2,1.886045001E-2,-7.101302966E-3
4.010456262E0,-3.970621154E-3,1.290451828E-2,-7.864884101E-3
4.029916992E0,6.566796452E-3,1.351538301E-2,-6.643154658E-3
4.049377617E0,8.093958721E-3,1.779143699E-2,-8.170315996E-3
4.068838242E0,1.267544460E-2,1.687514037E-2,-7.712167688E-3
4.088298867E0,2.306014486E-2,8.323032409E-3,-3.436114406E-3
