"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.208420533E0,9.805787086E0,1.722832322E-1,-1.304088384E-1
5.227881262E0,9.854242325E0,2.291127741E-1,-1.878365725E-1
5.247341887E0,9.970891953E0,2.201396823E-1,-2.003988922E-1
5.266802512E0,1.003609657E1,1.704886109E-1,-1.932204217E-1
5.286263137E0,1.004327488E1,1.465603858E-1,-1.585244983E-1
5.305723762E0,9.994221687E0,1.399801224E-1,-1.339980662E-1
5.325184387E0,9.914660454E0,1.292124242E-1,-1.333998591E-1
5.344645012E0,9.820143700E0,1.357926875E-1,-1.058823988E-1
5.364105637E0,9.769894600E0,1.489532143E-1,-7.956135273E-2
5.383566262E0,9.746564865E0,1.633101404E-1,-5.802594870E-2
5.403026992E0,9.744172096E0,1.351944804E-1,-3.349951655E-2
5.422487617E0,9.819545746E0,7.836493850E-2,-7.716853172E-2
5.441948242E0,9.906285286E0,4.486542568E-2,-1.333998591E-1
5.461408867E0,9.928419113E0,1.028913707E-1,-8.973085135E-2
5.480869492E0,9.930213928E0,1.519442350E-1,-1.316052489E-2
5.500330117E0,9.917053223E0,1.585244983E-1,3.170489892E-2
5.519790742E0,9.853045464E0,1.369891018E-1,4.666004330E-2
5.539251367E0,9.823135376E0,1.196411327E-1,-4.067798331E-2
5.558711992E0,9.811170578E0,1.381855011E-1,-6.281159073E-2
5.578172617E0,9.899106979E0,1.405783296E-1,-3.349951655E-2
5.597633346E0,9.972686768E0,1.118644550E-1,1.076770201E-2
5.617093971E0,9.943374634E0,1.046859920E-1,4.426721856E-2
5.636554596E0,9.864411354E0,8.195417374E-2,1.052841991E-1
5.656015221E0,9.794421196E0,4.666004330E-2,1.573280841E-1
5.675475846E0,9.820143700E0,-4.785645287E-3,1.591227055E-1
5.694936471E0,9.850652695E0,-1.914258115E-2,1.244267747E-1
5.714397096E0,9.872786522E0,6.340979785E-2,8.793623000E-2
5.733857721E0,9.899106979E0,1.088734269E-1,6.101697683E-2
5.753318346E0,9.897911072E0,1.405783296E-1,6.041877344E-2
5.772778971E0,9.859027863E0,9.990034252E-2,1.172483116E-1
5.792239700E0,9.810572624E0,6.759724021E-2,2.033899277E-1
5.811700325E0,9.769894600E0,5.144568533E-2,1.525424421E-1
5.831160950E0,9.807581902E0,1.794616925E-3,6.221338734E-2
5.850621575E0,9.943972588E0,5.443671346E-2,-3.230310604E-2
5.870082200E0,9.991230965E0,1.088734269E-1,-5.144568533E-2
5.889542825E0,9.911071777E0,8.973085135E-2,-5.144568533E-2
5.909003450E0,9.839884758E0,7.058826834E-2,-5.802594870E-2
5.928464075E0,9.823135376E0,1.004985496E-1,-1.674975827E-2
5.947924700E0,9.760921478E0,1.238285750E-1,1.674975827E-2
5.967385325E0,9.702896118E0,1.489532143E-1,-5.982056633E-2
5.986846054E0,9.768698692E0,7.178468257E-2,-7.298108935E-2
6.006306679E0,9.940981865E0,4.845465720E-2,-1.573280841E-1
6.025767304E0,9.991230965E0,-2.991028363E-3,-1.860419661E-1
6.045227929E0,9.923035622E0,2.632104978E-2,-1.028913707E-1
6.064688554E0,9.778867722E0,1.920240223E-1,-5.324030295E-2
6.084149179E0,9.617950439E0,3.044866920E-1,-8.793623000E-2
6.103609804E0,9.588040352E0,3.547359705E-1,-1.519442350E-1
6.123070429E0,9.710074425E0,3.218346536E-1,-2.147558331E-1
6.142531054E0,9.848259926E0,2.530409992E-1,-2.859423161E-1
6.161991679E0,9.895518303E0,2.614158690E-1,-2.614158690E-1
6.181452408E0,9.981659889E0,3.427718580E-1,-2.853440940E-1
6.200913033E0,9.969097137E0,3.714857101E-1,-2.793620527E-1
6.220373658E0,9.984650612E0,4.307080805E-1,-2.566302419E-1
6.239834283E0,9.973284721E0,5.120640397E-1,-1.519442350E-1
6.259294908E0,9.888937950E0,4.546363056E-1,-3.469592705E-2
6.278755533E0,9.798010826E0,3.804588020E-1,-5.682953820E-2
6.298216158E0,9.752547264E0,2.769692242E-1,-6.400800496E-2
6.317676783E0,9.799206734E0,2.159522474E-1,-3.290131316E-2
6.337137408E0,9.915258408E0,2.171486616E-1,5.742774159E-2
6.356598033E0,9.888339996E0,1.178465188E-1,1.040877849E-1
6.376058658E0,9.807581902E0,5.324030295E-2,3.409772366E-2
6.395519387E0,9.571888924E0,3.409772366E-2,5.324030295E-2
6.414980012E0,9.352347374E0,6.041877344E-2,1.824527234E-1
6.434440637E0,9.319445610E0,1.501496136E-1,3.379862010E-1
6.453901262E0,9.557532310E0,2.452643216E-1,4.504488707E-1
6.473361887E0,9.905089378E0,1.734796464E-1,3.302095234E-1
6.492822512E0,1.001994514E1,-3.290131316E-2,2.404786795E-1
6.512283137E0,9.833903313E0,-1.585244983E-1,3.014956415E-1
6.531743762E0,9.590433121E0,-1.010967568E-1,3.619144261E-1
6.551204387E0,9.594022751E0,6.520441920E-2,2.691925466E-1
6.570665012E0,9.774082184E0,2.835494876E-1,2.117647976E-1
6.590125637E0,1.002712345E1,4.145565331E-1,2.644068897E-1
6.609586367E0,1.018086243E1,4.187439680E-1,3.595215976E-1
6.629046992E0,1.020598698E1,4.133601189E-1,4.516452849E-1
6.648507617E0,1.020778179E1,3.900300860E-1,4.384847581E-1
6.667968242E0,1.018863869E1,3.750749528E-1,3.182454109E-1
6.687428867E0,1.017966557E1,3.906283081E-1,2.333002090E-1
6.706889492E0,1.014556789E1,4.983053207E-1,2.943171859E-1
6.726350117E0,1.003190899E1,5.820540786E-1,4.707878530E-1
6.745810742E0,9.856635094E0,5.760720372E-1,6.442674994E-1
6.765271367E0,9.775279045E0,5.054838061E-1,7.710871100E-1
6.784731992E0,9.890732765E0,5.180460811E-1,8.386843204E-1
6.804192721E0,1.000977516E1,6.580262184E-1,8.015955687E-1
6.823653346E0,1.004327488E1,8.087740541E-1,6.155536175E-1
6.843113971E0,9.896116257E0,8.715856671E-1,4.019941986E-1
6.862574596E0,9.689137459E0,9.056833982E-1,2.973082066E-1
6.882035221E0,9.544969559E0,8.799605370E-1,2.536391914E-1
6.901495846E0,9.469595909E0,7.812566161E-1,3.074777126E-1
6.920956471E0,9.463015556E0,7.298108935E-1,3.834498227E-1
6.940417096E0,9.646664619E0,7.166503668E-1,2.835494876E-1
6.959877721E0,9.863813400E0,6.538388133E-1,1.082752272E-1
6.979338346E0,9.947562218E0,5.569294691E-1,3.649054468E-2
6.998798971E0,9.893723488E0,5.557330847E-1,1.369891018E-1
7.018259700E0,9.906285286E0,6.945167780E-1,3.260220885E-1
7.037720325E0,9.949954987E0,8.213363886E-1,4.169493318E-1
7.057180950E0,1.006301594E1,8.500502706E-1,2.895315289E-1
