"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.085086844E0,9.728618622E0,-1.322034448E-1,-4.456632137E-1
6.104547573E0,9.767501831E0,-5.802594870E-2,-3.816552162E-1
6.124008302E0,9.744770050E0,1.196411322E-3,-3.840480447E-1
6.143468927E0,9.805787086E0,1.375873089E-1,-4.725824594E-1
6.162929656E0,9.886545181E0,2.608176768E-1,-5.330012441E-1
6.182390385E0,9.985248566E0,2.763710022E-1,-6.005984545E-1
6.201851114E0,1.005882835E1,2.231307179E-1,-6.538388133E-1
6.221311739E0,1.003549862E1,2.273181528E-1,-6.520441771E-1
6.240772469E0,9.957133293E0,2.123630047E-1,-5.952146053E-1
6.260233198E0,9.886545181E0,1.878365725E-1,-5.108676553E-1
6.279693927E0,9.843474388E0,1.974078715E-1,-4.211367965E-1
6.299154552E0,9.930811882E0,1.609173268E-1,-3.631108403E-1
6.318615281E0,1.002831936E1,1.148554832E-1,-4.534398913E-1
6.338076010E0,1.003609657E1,1.465603858E-1,-3.876372576E-1
6.357536635E0,9.985248566E0,1.740778536E-1,-2.524427772E-1
6.376997364E0,9.818947792E0,1.992024779E-1,-1.621137410E-1
6.396458094E0,9.687342644E0,2.602194548E-1,-8.135596663E-2
6.415918823E0,9.710074425E0,3.218346536E-1,-5.503492057E-2
6.435379448E0,9.887143135E0,3.116651475E-1,-2.757728100E-1
6.454840177E0,1.004686451E1,3.068794906E-1,-3.768695593E-1
6.474300906E0,1.000498962E1,3.248256743E-1,-2.548356056E-1
6.493761531E0,9.781260490E0,3.146561682E-1,3.948157281E-2
6.513222260E0,9.566504478E0,2.536391914E-1,3.068794906E-1
6.532682989E0,9.457033157E0,1.956132501E-1,3.050848842E-1
6.552142445E0,9.585049629E0,1.812563092E-1,9.870393574E-2
6.571603175E0,9.793225288E0,1.968096644E-1,-6.939185411E-2
6.591063904E0,9.906285286E0,2.560320199E-1,-1.531406492E-1
6.610524633E0,9.897313118E0,2.554338276E-1,-2.141576260E-1
6.629985258E0,9.854242325E0,2.506481707E-1,-2.333002090E-1
6.649445987E0,9.853643417E0,2.871387303E-1,-2.117647976E-1
6.668906716E0,9.873982430E0,2.847459018E-1,-2.380858511E-1
6.688367445E0,9.938589096E0,3.314059377E-1,-1.992024779E-1
6.707828070E0,9.915258408E0,4.277170599E-1,-1.621137410E-1
6.727288800E0,9.869794846E0,5.300102234E-1,-2.081755698E-1
6.746749529E0,9.840482712E0,5.790630579E-1,-2.327020019E-1
6.766210154E0,9.778269768E0,5.718846321E-1,-1.519442350E-1
6.785670883E0,9.747760773E0,4.600201547E-1,3.110669367E-2
6.805131612E0,9.792626381E0,2.219343036E-1,1.866401732E-1
6.824592341E0,9.964909554E0,9.571290761E-2,-2.333002165E-2
6.844052966E0,1.010668468E1,1.680957973E-1,-6.520441771E-1
6.863513695E0,9.292527199E0,-2.093719877E-2,-8.943174481E-1
6.882974425E0,9.528220177E0,-2.201396823E-1,-2.488535494E-1
6.902435154E0,1.011147022E1,-4.779663086E-1,-3.290131316E-2
