"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.655816531E0,1.977674663E-2,-1.908952487E-3,3.565923125E-2
5.675277260E0,1.397353224E-2,7.101302966E-3,3.764454275E-2
5.694737885E0,-7.559451740E-3,8.475748822E-3,4.848739132E-2
5.714198614E0,-4.329504073E-2,-1.756236190E-3,6.101011857E-2
5.733659344E0,-5.688678101E-2,-9.392046370E-3,6.375901401E-2
5.753120073E0,-4.940368980E-2,-1.855501719E-2,5.276344717E-2
5.772580698E0,-4.741837829E-2,-1.519526169E-2,3.565923125E-2
5.792041427E0,-6.666062027E-2,-3.123046272E-2,1.595884189E-2
5.811502156E0,-6.406444311E-2,-7.047852129E-2,1.298087649E-3
5.830962781E0,-4.130972922E-2,-1.208748668E-1,4.810560029E-3
5.850423510E0,-3.397935256E-2,-1.573740393E-1,1.809686981E-2
5.869884239E0,-3.642281145E-2,-1.789070219E-1,2.756527252E-2
5.889344864E0,-4.436405376E-2,-1.692859083E-1,2.512181364E-2
5.908805594E0,-6.559160352E-2,-1.332448870E-1,7.254019380E-3
5.928266323E0,-9.292780608E-2,-9.644027799E-2,-1.320995111E-2
5.947726948E0,-1.086575761E-1,-5.749764666E-2,-2.115119249E-2
5.967187677E0,-1.095738709E-1,-1.840230078E-2,-1.091920771E-2
5.986648406E0,-1.060613990E-1,6.490438245E-3,3.130682046E-3
6.006109135E0,-8.208495378E-2,1.809686981E-2,4.505127668E-3
6.025569760E0,-3.764454275E-2,2.435823344E-2,8.399390499E-4
6.045030489E0,1.076649129E-2,3.642281145E-2,1.145371469E-3
6.064491219E0,5.535962060E-2,3.504836559E-2,1.458439697E-2
6.083951844E0,8.895718306E-2,3.031416424E-2,3.077231348E-2
6.103412573E0,1.173623949E-1,2.283107117E-2,3.535379842E-2
6.122873302E0,1.456148922E-1,5.421424750E-3,3.825540841E-2
6.142333927E0,1.450040340E-1,-1.809686981E-2,3.932442144E-2
6.161794656E0,1.335503161E-1,-3.794997558E-2,3.443750367E-2
6.181255385E0,1.251509190E-1,-4.787652567E-2,3.382663801E-2
6.200716114E0,1.141553521E-1,-4.589121789E-2,3.871355578E-2
6.220176739E0,9.094249457E-2,-2.893971838E-2,3.153589368E-2
6.239637469E0,6.314814836E-2,-7.254019380E-3,1.656970754E-2
6.259098198E0,4.222602770E-2,1.030834299E-2,-1.145371469E-3
6.278558927E0,4.314232618E-2,1.427896414E-2,-7.254019380E-3
6.298019552E0,6.238456443E-2,1.534797717E-2,-2.061668551E-3
6.317480281E0,7.567087561E-2,2.710712515E-2,3.588830587E-3
6.336941010E0,6.772962958E-2,5.688678101E-2,-8.933897130E-3
6.356401635E0,6.375901401E-2,8.162680268E-2,-3.291033953E-2
6.375862364E0,6.650790572E-2,9.078978002E-2,-4.757109284E-2
6.395323094E0,6.986765563E-2,9.155336022E-2,-4.848739132E-2
6.414783823E0,9.078978002E-2,8.529199660E-2,-3.336848691E-2
6.434244448E0,9.613484144E-2,8.819360286E-2,-1.870773360E-2
6.453705177E0,6.727148592E-2,1.253036410E-1,-1.931859925E-2
6.473165906E0,2.527453005E-2,1.782961637E-1,-3.794997558E-2
6.492626531E0,-2.176205814E-2,1.938732117E-1,-5.688678101E-2
6.512087260E0,-4.451677203E-2,1.592066288E-1,-5.841394514E-2
6.531547989E0,-3.245219216E-2,1.027016416E-1,-5.169443041E-2
6.551007445E0,-8.475748822E-3,5.749764666E-2,-4.283689335E-2
6.570468175E0,7.712167688E-3,3.214675933E-2,-4.054614902E-2
6.589928904E0,1.626427472E-2,2.008217946E-2,-4.085158184E-2
6.609389633E0,2.176205814E-2,1.229365356E-2,-4.314232618E-2
6.628850258E0,2.695440874E-2,9.544761851E-3,-4.268417507E-2
6.648310987E0,3.077231348E-2,1.756236190E-3,-3.978256881E-2
6.667771716E0,3.367391974E-2,-1.748600416E-2,-3.336848691E-2
6.687232445E0,3.413207084E-2,-4.268417507E-2,-2.222020552E-2
6.706693070E0,3.061959706E-2,-5.444332212E-2,-1.137735695E-2
6.726153800E0,1.351538301E-2,-3.917170316E-2,-7.712167688E-3
6.745614529E0,-1.809686981E-2,-2.344193682E-2,-1.061377581E-2
6.765075154E0,-6.681333482E-2,-1.366809942E-2,-1.718057133E-2
6.784535883E0,-1.095738709E-1,-9.850194678E-3,-2.313650399E-2
6.803996612E0,-1.222493127E-1,-2.878700197E-2,-1.626427472E-2
6.823457341E0,-1.165988147E-1,-4.360047355E-2,-9.697478265E-3
6.842917966E0,-1.019380614E-1,-6.070468575E-2,-1.458439697E-2
6.862378695E0,-4.268417507E-2,-8.849903196E-2,-2.313650399E-2
6.881839425E0,1.947131567E-2,-1.282052398E-1,-3.283398226E-3
6.901300154E0,2.023489587E-2,-7.231111825E-2,1.580612548E-2
6.920760779E0,1.718057133E-2,-1.168278884E-2,8.323032409E-3
6.940221508E0,7.643445581E-2,-3.031416424E-2,-2.672533505E-3
6.959682237E0,1.259144992E-1,-5.108356848E-2,3.016144782E-2
6.979142862E0,1.086575761E-1,-1.886045001E-2,7.796161622E-2
6.998603591E0,7.506000996E-2,3.688096255E-2,8.804088831E-2
7.018064320E0,7.903063297E-2,4.680751264E-2,6.818778068E-2
7.037525050E0,1.098793000E-1,-5.345066893E-4,4.268417507E-2
7.056985675E0,1.129336283E-1,-3.306305781E-2,1.427896414E-2
7.076446404E0,9.094249457E-2,-2.496909723E-2,-3.283398226E-3
7.095907133E0,7.551816106E-2,1.137735695E-2,5.345066893E-4
7.115367862E0,7.597630471E-2,2.725984156E-2,1.229365356E-2
7.134828487E0,7.078395784E-2,-8.399390499E-4,1.305723470E-2
7.154289216E0,4.772381112E-2,-5.077813566E-2,-5.574141163E-3
7.173749945E0,2.787070535E-2,-7.658717036E-2,-3.428478539E-2
7.193210675E0,1.886045001E-2,-7.124210149E-2,-5.352702737E-2
7.212671300E0,-7.635809743E-5,-4.879282415E-2,-5.902481079E-2
7.232132029E0,-1.030834299E-2,-2.252563834E-2,-5.383246019E-2
7.251592758E0,8.628465235E-3,-6.948587019E-3,-4.085158184E-2
7.271053487E0,3.550651670E-2,-2.825249685E-3,-2.771798894E-2
7.290514112E0,6.268999726E-2,-9.697478265E-3,-2.619082667E-2
7.309974841E0,8.101594448E-2,-1.611155830E-2,-3.123046272E-2
7.329435570E0,8.743002266E-2,-2.466366626E-2,-3.000873141E-2
